,County,count,mean,std,min,25%,50%,75%,max
0,Allegany,698.0,36.80130313616203,26.759291507684992,0.0027397260273972603,16.0513698630137,26.932876712328767,60.93904109589041,122.3890410958904
1,Broome,10.0,6.2276712328767125,5.444751684564681,0.0027397260273972603,0.7815068493150685,7.405479452054794,9.78082191780822,13.906849315068493
2,Cattaraugus,1130.0,36.49877803370104,24.67628394930763,0.0027397260273972603,20.707534246575342,33.63698630136986,48.18013698630136,115.9013698630137
3,Cayuga,35.0,14.745205479452057,14.226924090197793,0.26575342465753427,4.697260273972603,10.860273972602739,20.299999999999997,55.99452054794521
4,Chautauqua,533.0,17.581803695803032,19.170122844229123,0.0027397260273972603,4.846575342465753,11.457534246575342,24.273972602739725,101.62465753424658
5,Chemung,30.0,19.50840182648402,23.142776228013208,0.0027397260273972603,4.491095890410959,10.134246575342466,26.86027397260274,75.86301369863014
6,Chenango,5.0,9.479452054794521,4.924079261874141,0.6767123287671233,11.490410958904109,11.550684931506849,11.734246575342466,11.945205479452055
7,Cortland,4.0,17.454794520547942,20.68580578151779,0.36712328767123287,6.897260273972603,10.991780821917807,21.54931506849315,47.46849315068493
8,Delaware,1.0,0.01643835616438356,,0.01643835616438356,0.01643835616438356,0.01643835616438356,0.01643835616438356,0.01643835616438356
9,Erie,389.0,26.696327076803875,27.60202836373036,0.0027397260273972603,4.4301369863013695,15.542465753424658,39.50684931506849,120.5041095890411
10,Genesee,137.0,31.915508449155087,26.646795595352337,0.0027397260273972603,10.986301369863014,24.78904109589041,46.13972602739726,114.94246575342466
11,Livingston,36.0,10.54261796042618,12.27742013618561,0.0027397260273972603,4.769178082191781,6.916438356164384,9.363698630136986,64.4
12,Madison,10.0,5.953972602739726,4.742482161152765,0.00821917808219178,2.052739726027397,5.215068493150685,10.962328767123287,11.764383561643836
13,Monroe,9.0,46.06392694063927,13.29962370209686,23.123287671232877,47.56164383561644,47.94794520547945,55.49315068493151,57.367123287671234
14,New York,2.0,2.1753424657534244,0.5540617518338427,1.7835616438356163,1.9794520547945202,2.1753424657534244,2.3712328767123285,2.5671232876712327
15,Niagara,1.0,0.030136986301369864,,0.030136986301369864,0.030136986301369864,0.030136986301369864,0.030136986301369864,0.030136986301369864
16,Oneida,7.0,55.94794520547945,38.16422998851314,0.0410958904109589,38.85068493150685,78.26027397260275,78.48767123287672,78.65753424657534
17,Onondaga,6.0,12.307305936073059,20.374663429472026,0.0027397260273972603,0.005479452054794521,0.045205479452054796,19.04041095890411,48.38630136986301
18,Ontario,40.0,33.66595890410959,29.493982603991228,0.038356164383561646,5.776712328767123,28.78904109589041,53.154794520547945,104.77808219178083
19,Orange,2.0,8.380821917808218,11.848397462292944,0.0027397260273972603,4.191780821917808,8.380821917808218,12.56986301369863,16.75890410958904
20,Orleans,3.0,0.3095890410958904,0.5220166734822818,0.0027397260273972603,0.00821917808219178,0.0136986301369863,0.46301369863013697,0.9123287671232877
21,Oswego,9.0,39.0599695585997,52.53587630206742,0.005479452054794521,4.273972602739726,9.884931506849314,85.93972602739726,129.66027397260274
22,Otsego,4.0,2.8431506849315067,2.0846853309924303,0.0027397260273972603,2.002054794520548,3.287671232876712,4.1287671232876715,4.794520547945205
23,Schuyler,15.0,29.37789954337899,28.959889610423822,0.15342465753424658,6.2835616438356166,10.602739726027398,47.55890410958904,86.78082191780823
24,Seneca,22.0,22.926027397260274,31.684189460120493,0.0027397260273972603,4.302054794520548,6.556164383561644,29.605479452054794,86.26301369863013
25,Steuben,170.0,32.8569057211926,29.50695678729021,0.0027397260273972603,7.796575342465753,24.006849315068493,54.50684931506849,103.92876712328767
26,Sullivan,2.0,0.7945205479452054,1.0926252728471584,0.021917808219178082,0.40821917808219177,0.7945205479452054,1.180821917808219,1.5671232876712329
27,Tioga,12.0,7.667351598173515,4.883504785660295,0.6356164383561644,4.474657534246575,7.1657534246575345,11.916438356164385,15.994520547945205
28,Tompkins,8.0,8.069178082191781,9.580554449706366,0.0027397260273972603,0.17671232876712326,7.617808219178082,9.480821917808218,29.057534246575344
29,Wayne,4.0,4.717808219178082,4.338319614363902,0.136986301369863,1.4746575342465753,4.9301369863013695,8.173287671232877,8.873972602739727
30,Wyoming,85.0,12.851990330378733,17.373203567442502,0.0027397260273972603,0.46301369863013697,5.772602739726027,17.96712328767123,73.24383561643836
31,Yates,15.0,24.47342465753425,32.01653625696029,0.0410958904109589,1.66986301369863,8.668493150684931,35.20821917808219,113.6027397260274
